Id,Name,經度,緯度,類別
0,松山機場站出口1,121.552335,25.063717,mrt
1,中山國中站出口,121.544031,25.060889,mrt
2,忠孝復興站出口1,121.543143,25.041797,mrt
3,大安站出口1,121.541949,25.033508,mrt
4,科技大樓站出口,121.543636,25.026154,mrt
5,六張犁站出口,121.552737,25.023852,mrt
6,麟光站出口,121.558606,25.018554,mrt
7,辛亥站出口,121.557021,25.005119,mrt
8,萬芳醫院站出口,121.557737,24.999383,mrt
9,萬芳社區站出口,121.568409,24.99858,mrt
10,木柵站出口,121.573417,24.998174,mrt
11,動物園站出口1,121.579916,24.99825,mrt
12,大直站出口1,121.547104,25.080118,mrt
13,劍南路站出口1,121.555226,25.085174,mrt
14,西湖站出口1,121.566647,25.082339,mrt
15,港墘站出口1,121.57556,25.080152,mrt
16,文德站出口1,121.58564,25.078671,mrt
17,內湖站出口1,121.594266,25.083745,mrt
18,大湖公園站出口1,121.602377,25.083894,mrt
19,葫洲站出口1,121.608047,25.072638,mrt
20,東湖站出口1,121.611129,25.067218,mrt
21,南港軟體園區站出口1,121.615817,25.059995,mrt
22,南港展覽館站出口1,121.616936,25.055847,mrt
23,景美站出口1,121.540933,24.992296,mrt
24,萬隆站出口1,121.538896,25.001367,mrt
25,公館站出口1,121.534377,25.014509,mrt
26,台電大樓站出口1,121.528577,25.01962,mrt
27,古亭站出口1,121.522973,25.025976,mrt
28,中正紀念堂站出口1,121.517764,25.033034,mrt
29,小南門站出口1,121.509752,25.036434,mrt
30,台大醫院站出口1,121.515731,25.040913,mrt
31,台北車站,121.517532,25.046255,mrt
32,雙連站出口1,121.520588,25.057499,mrt
33,民權西路站出口1,121.519454,25.062641,mrt
34,圓山站出口1,121.520033,25.070785,mrt
35,劍潭站出口1,121.525175,25.08503,mrt
36,士林站出口1,121.525966,25.094106,mrt
37,芝山站出口1,121.522636,25.102046,mrt
38,明德站出口,121.519153,25.109298,mrt
39,石牌站出口1,121.515171,25.115007,mrt
40,唭哩岸站出口1,121.506987,25.120673,mrt
41,奇岩站出口,121.50096,25.126169,mrt
